index,id,title,duration,duration_min,url,is_short_duration_le_60,categories
84,zFLXgnujWhY,SUB) 미야옹철한테 한 수 배우고 간 후배고양이 미야오,1081.0,18.02,https://www.youtube.com/watch?v=zFLXgnujWhY,False,기타/엔터테인먼트
85,yRa3J0IRMtk,인간의 이기심이라고? 고양이 중성화에 대한 모든 것ㅣ집사메이커 lv.13,213.0,3.55,https://www.youtube.com/watch?v=yRa3J0IRMtk,False,생활/돌봄
86,0suAqmGVH9k,조심하세요! 수의사가 알려주는 고양이 귀 청소👂,350.0,5.83,https://www.youtube.com/watch?v=0suAqmGVH9k,False,건강/진료
87,OzpE01M79gE,러시아에서 온 이중인격 고양이ㅣ묘종백과 러시안블루 편,594.0,9.9,https://www.youtube.com/watch?v=OzpE01M79gE,False,품종/지식
88,KbY-iAaqV2U,이렇게 하면 안 돼요! 수의사의 고양이 눈곱 관리법,327.0,5.45,https://www.youtube.com/watch?v=KbY-iAaqV2U,False,건강/진료
89,9XIPfwBaoPg,수의사 경악! 세상에서 제일 이상한 고양이 모음| 웃수저 고양이,568.0,9.47,https://www.youtube.com/watch?v=9XIPfwBaoPg,False,건강/진료
90,T5QYpo_T2w8,고양이도 중2병이 있을까?,398.0,6.63,https://www.youtube.com/watch?v=T5QYpo_T2w8,False,기타/엔터테인먼트
91,FLwzHgZ6pBw,집사의 슬픔에 공감하는 고양이,720.0,12.0,https://www.youtube.com/watch?v=FLwzHgZ6pBw,False,생활/돌봄
92,-UYCv4AJ2TE,우리 집에 고양이 보러 갈래?ㅣ고양식탁 치즈(CHEEZE) 편,1145.0,19.08,https://www.youtube.com/watch?v=-UYCv4AJ2TE,False,생활/돌봄
93,UEyQkeKNmZs,암내에 중독된 고양이의 충격적인 제보영상,450.0,7.5,https://www.youtube.com/watch?v=UEyQkeKNmZs,False,기타/엔터테인먼트
94,0rSxTs1-dG4,고양이는 거울 속 자기 얼굴을 알까?🪞,408.0,6.8,https://www.youtube.com/watch?v=0rSxTs1-dG4,False,기타/엔터테인먼트
95,a1AKM2hI9Is,고양이는 왜 네모난 곳을 좋아할까?,349.0,5.82,https://www.youtube.com/watch?v=a1AKM2hI9Is,False,행동/감정
96,mlrN0fJ2Xyc,자가진단으로 처방사료 먹였다가 벌어진 끔찍한 일들,463.0,7.72,https://www.youtube.com/watch?v=mlrN0fJ2Xyc,False,생활/돌봄
97,ZFFEh30z-w4,"고양이 털 관리, 고양이에겐 고문일지 모릅니다",449.0,7.48,https://www.youtube.com/watch?v=ZFFEh30z-w4,False,기타/엔터테인먼트
98,lwM7e2oKXM0,그것이 알고싶다 PD가 고양이를 키우면 벌어지는 일ㅣ고양식탁 도준우 PD 편,1051.0,17.52,https://www.youtube.com/watch?v=lwM7e2oKXM0,False,기타/엔터테인먼트
99,oXPi5gL478k,20분 순삭! 코숏을 키우고 있다면 꼭 알아야 할 충격적인 사실,1473.0,24.55,https://www.youtube.com/watch?v=oXPi5gL478k,False,기타/엔터테인먼트
100,9R_vH9rEfv4,좋은냥 나쁜냥 이상한냥,197.0,3.28,https://www.youtube.com/watch?v=9R_vH9rEfv4,False,기타/엔터테인먼트
101,NAMreYnvVrY,마중 나오는 유형으로 알아보는 고양이 속마음,351.0,5.85,https://www.youtube.com/watch?v=NAMreYnvVrY,False,기타/엔터테인먼트
